CountryName,Total_Conformed_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Reported 1st case
World,1079978,64913,58110,4943,227668,794200,39236,138.6,7.5,01/10/20
USA,265506,20629,6786,716,11983,246737,5781,802,21,01/20/20
Italy,119827,4585,14681,766,19758,85388,4068,1982,243,01/29/20
Spain,117710,5645,10935,587,30513,76262,6416,2518,234,01/30/20
Germany,89838,5044,1230,123,24575,64033,3936,1072,15,01/10/20
China,81620,31,3322,4,76571,1727,379,57,2,01/26/20
France,64338,5233,6507,1120,14008,43823,6662,986,100,01/23/20
Iran,53183,2715,3294,134,17935,31954,4035,633,39,02/18/20
UK,38168,4450,3605,684,135,34428,163,562,53,01/30/20
Turkey,20921,2786,425,69,484,20012,1251,248,5,02/24/20
Switzerland,19606,779,591,55,4846,14169,348,2265,68,03/09/20
Belgium,16770,1422,1143,132,2872,12755,1205,1447,99,02/03/20
Netherlands,15723,1026,1487,148,250,13986,1182,918,87,02/26/20
Canada,11747,464,173,,1979,9595,120,311,5,02/24/20
Austria,11506,377,168,10,2022,9316,245,1278,19,01/19/20
S. Korea,10062,86,174,5,6021,3867,55,196,3,01/24/20
Portugal,9886,852,246,37,68,9572,245,970,24,03/01/20
Brazil,8229,185,343,19,127,7759,296,39,2,02/24/20
Israel,7030,173,40,4,338,6652,115,812,5,02/20/20
Sweden,6131,563,358,50,205,5568,469,607,35,01/30/20
Australia,5350,36,28,3,585,4737,85,210,1,01/24/20
Norway,5296,149,57,7,32,5207,96,977,11,02/25/20
Ireland,4273,424,120,22,5,4148,109,865,24,02/29/20
Russia,4149,601,34,4,281,3834,8,28,0.2,02/28/20
Czechia,4091,233,53,9,72,3966,77,382,5,02/26/20
Denmark,3757,371,139,16,1193,2425,153,649,24,03/02/20
Chile,3737,333,22,4,427,3288,31,195,1,01/24/20
Ecuador,3368,205,145,25,65,3158,100,191,8,01/30/20
Malaysia,3333,217,53,3,827,2453,108,103,2,02/28/20
Poland,3266,320,65,8,56,3145,50,86,2,02/25/20
Romania,3183,445,133,18,283,2767,83,165,7,03/03/20
Philippines,3018,385,136,29,52,2830,1,28,1,02/28/20
Pakistan,2637,216,40,6,126,2471,10,12,0.2,01/29/20
Japan,2617,,63,,514,2040,60,21,0.5,01/14/20
Luxembourg,2612,125,31,1,500,2081,33,4173,50,02/25/20
India,2567,24,72,,192,2303,,2,0.05,01/12/20
Saudi Arabia,2039,154,25,4,351,1663,41,59,0.7,03/01/20
Indonesia,1986,196,181,11,134,1671,,7,0.7,03/01/20
Thailand,1978,103,19,4,581,1378,23,28,0.3,01/29/20
Finland,1615,97,20,1,300,1295,72,291,4,01/28/20
Greece,1613,69,59,6,61,1493,92,155,6,02/25/20
Peru,1595,181,55,,537,1003,51,48,2,03/04/20
Mexico,1510,132,50,13,633,827,1,12,0.4,02/29/20
South Africa,1505,43,9,4,95,1401,7,25,0.2,02/27/20
Dominican Republic,1488,108,68,8,16,1404,147,137,6,02/27/20
Serbia,1476,305,39,8,42,1395,81,169,4,03/09/20
Panama,1475,,37,,10,1428,50,342,9,03/05/20
Iceland,1364,45,4,,309,1051,12,3997,12,03/05/20
Argentina,1265,,39,3,266,960,,28,0.9,03/02/20
UAE,1264,240,9,1,108,1147,2,128,0.9,01/22/20
Algeria,1171,185,105,19,62,1004,,27,2,02/24/20
Colombia,1161,,19,,55,1087,50,23,0.4,03/05/20
Singapore,1114,65,5,1,282,827,24,190,0.9,02/24/20
Croatia,1079,68,8,1,92,979,39,263,2,03/03/20
Qatar,1075,126,3,,93,979,37,373,1,02/28/20
Estonia,961,103,12,1,48,901,16,724,9,02/26/20
Ukraine,942,45,23,1,19,900,16,22,0.5,01/22/20
Slovenia,934,37,20,3,70,844,31,449,10,02/04/20
New Zealand,868,71,1,,103,764,2,180,0.2,02/13/20
Egypt,865,,58,,201,606,,8,0.6,02/27/20
Hong Kong,845,43,4,,173,668,8,113,0.5,02/21/20
Iraq,820,48,54,,226,540,,20,1,03/02/20
Morocco,761,53,47,3,56,658,1,21,1,01/28/20
Armenia,736,73,7,,43,686,30,248,2,03/01/20
Diamond Princess,712,,11,,619,82,10,,,02/27/20
Lithuania,696,47,9,,7,680,11,256,3,02/29/20
Bahrain,672,29,4,,382,286,3,395,2,02/23/20
Hungary,623,38,26,5,43,554,17,64,3,03/03/20
Moldova,591,86,8,2,26,557,65,147,2,02/20/20
Bosnia and Herzegovina,575,42,17,1,27,531,4,175,5,03/04/20
Lebanon,508,14,17,1,50,441,26,74,2,03/01/20
Tunisia,495,40,18,4,5,472,10,42,2,03/01/20
Latvia,493,35,1,1,1,491,3,261,0.5,03/06/20
Bulgaria,485,28,14,4,30,441,18,70,2,03/06/20
Kazakhstan,460,25,6,3,29,425,6,24,0.3,03/05/20
Slovakia,450,24,1,,10,439,3,82,0.2,03/01/20
Azerbaijan,443,43,5,,32,406,7,44,0.5,03/12/20
Andorra,439,11,16,1,16,407,12,5682,207,02/27/20
North Macedonia,430,46,11,,17,402,8,206,5,02/25/20
Kuwait,417,75,,,82,335,16,98,,03/04/20
Cyprus,396,40,11,1,28,357,11,328,9,03/12/20
Costa Rica,396,,2,,6,388,11,78,0.4,01/20/20
Uruguay,369,19,4,,68,297,13,106,1,03/08/20
Belarus,351,47,4,,53,294,11,37,0.4,02/23/20
Taiwan,348,9,5,,50,293,,15,0.2,03/08/20
Réunion,321,13,,,40,281,3,359,,03/10/20
Jordan,310,11,5,,58,247,5,30,0.5,03/01/20
Cameroon,306,,7,,10,289,,12,0.3,03/07/20
Albania,304,27,17,1,89,198,7,106,6,02/26/20
Burkina Faso,302,14,16,,50,236,,14,0.8,03/05/20
Afghanistan,281,8,6,,10,265,,7,0.2,01/22/20
Cuba,269,36,6,,15,248,8,24,0.5,03/10/20
Oman,252,21,1,,57,194,3,49,0.2,02/23/20
San Marino,245,,30,,21,194,15,7221,884,02/23/20
Vietnam,237,4,,,85,152,3,2,,03/11/20
Channel Islands,232,39,4,1,13,215,,1334,23,03/01/20
Honduras,222,3,15,1,3,204,10,22,2,03/06/20
Uzbekistan,221,16,2,,25,194,8,7,0.06,03/10/20
Senegal,207,12,1,,66,140,1,12,0.06,03/14/20
Ghana,205,1,5,,31,169,2,7,0.2,03/03/20
Malta,202,6,,,2,200,2,457,,03/10/20
Ivory Coast,194,,1,,15,178,,7,0.04,03/08/20
Palestine,193,32,1,,21,171,,38,0.2,02/27/20
Nigeria,190,6,2,,20,168,,0.9,0.01,03/17/20
Mauritius,186,17,7,,,179,1,146,6,02/27/20
Faeroe Islands,179,2,,,91,88,1,3663,,01/26/20
Montenegro,174,30,2,,1,171,4,277,3,03/12/20
Sri Lanka,159,8,4,,24,131,5,7,0.2,03/04/20
Georgia,148,14,,,27,121,6,37,,03/08/20
Venezuela,146,,5,,43,98,6,5,0.2,03/04/20
Martinique,138,,3,,27,108,19,368,8,03/16/20
DRC,134,,13,,3,118,,1,0.1,02/25/20
Brunei,134,1,1,,65,68,3,306,2,03/09/20
Bolivia,132,9,9,1,1,122,3,11,0.8,03/12/20
Kyrgyzstan,130,14,1,1,6,123,5,20,0.2,03/17/20
Guadeloupe,128,,6,,24,98,14,320,15,03/09/20
Kenya,122,12,4,1,4,114,2,2,0.07,01/26/20
Mayotte,116,,1,,10,105,3,425,4,03/13/20
Isle of Man,114,19,1,,,113,,1341,12,03/11/20
Cambodia,114,4,,,35,79,1,7,,03/12/20
Niger,98,,5,,,93,,4,0.2,03/13/20
Trinidad and Tobago,97,3,6,1,1,90,,69,4,03/06/20
Gibraltar,95,7,,,46,49,,2820,,03/02/20
Paraguay,92,15,3,,6,83,4,13,0.4,03/02/20
Rwanda,84,,,,,84,,6,,03/18/20
Liechtenstein,75,,,,,75,,1967,,03/19/20
Guinea,73,21,,,2,71,,6,,02/27/20
Madagascar,65,6,,,,65,6,2,,03/12/20
Monaco,64,4,1,,3,60,2,1631,25,03/07/20
