CountryName,Total_Conformed_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total_Tests,Tests/1M pop
USA,336851,178,9620,4,17977,309254,8702,1018,29,1772369,5355
Spain,135032,3386,13055,414,40437,81540,6931,2888,279,355000,7593
Italy,128948,,15887,,21815,91246,3977,2133,263,691461,11436
Germany,100132,9,1584,,28700,69848,3936,1195,19,918460,10962
France,92839,,8078,,16183,68578,6838,1422,124,224254,3436
China,81708,39,3331,2,77078,1299,265,57,2,,
Iran,60500,2274,3739,136,24236,32525,4083,720,45,186000,2214
UK,47806,,4934,,135,42737,1559,704,73,195524,2880
Turkey,27069,,574,,1042,25453,1381,321,7,181445,2151
Switzerland,21652,552,734,19,7298,13620,391,2502,85,158000,18256
Belgium,20814,1123,1632,185,3986,15196,1257,1796,141,70000,6040
Netherlands,18803,952,1867,101,250,16686,1385,1097,109,75415,4401
Canada,15512,,280,,2942,12290,426,411,7,330901,8767
Austria,12162,111,220,16,3463,8479,250,1350,24,111296,12357
Portugal,11730,452,311,16,140,11279,270,1150,31,91794,9002
Brazil,11298,44,489,3,127,10682,296,53,2,54824,258
S. Korea,10284,47,186,3,6598,3500,55,201,4,461233,8996
Israel,8611,181,51,2,585,7975,141,995,6,109724,12677
Sweden,7206,376,477,76,205,6524,590,714,47,36900,3654
Russia,6343,954,47,2,406,5890,8,43,0.3,758000,5194
Australia,5795,45,41,4,2432,3322,96,227,2,302663,11869
Norway,5760,73,73,2,32,5655,83,1062,13,108709,20052
Ireland,4994,,158,,25,4811,165,1011,32,30213,6119
Denmark,4647,278,187,8,1378,3082,144,802,32,49249,8503
Czechia,4591,4,72,5,96,4423,84,429,7,85014,7939
Chile,4471,,34,,618,3819,307,234,2,51956,2718
India,4314,25,118,,328,3868,,3,0.09,140293,102
Poland,4201,99,98,4,162,3941,50,111,3,85467,2258
Romania,4057,193,157,6,406,3494,179,211,8,40987,2131
Malaysia,3793,131,62,1,1241,2490,102,117,2,55566,1717
Philippines,3660,414,163,11,73,3424,1,33,1,22958,210
Japan,3654,,85,,575,2994,69,29,0.7,44639,353
Ecuador,3646,,180,,100,3366,100,207,10,12386,702
Pakistan,3277,120,50,3,257,2970,17,15,0.2,35875,162
Luxembourg,2804,,36,,500,2268,33,4479,58,23687,37840
Indonesia,2491,218,209,11,192,2090,,9,0.8,9712,36
Saudi Arabia,2463,61,34,,488,1941,41,71,1,,
Peru,2281,,83,,989,1209,81,69,3,19410,589
Thailand,2220,51,26,3,793,1401,23,32,0.4,25071,359
Finland,2176,249,28,,300,1848,73,393,5,31714,5724
Mexico,2143,253,94,15,633,1416,293,17,0.7,18034,140
Panama,1988,187,54,8,13,1921,78,461,13,9749,2259
Serbia,1908,,51,,54,1803,98,218,6,7360,842
UAE,1799,,10,,144,1645,1,182,1,220000,22244
Dominican Republic,1745,,82,,17,1646,147,161,8,4542,419
Greece,1735,,73,,78,1584,93,166,7,25453,2442
South Africa,1655,,11,,95,1549,7,28,0.2,56873,959
Qatar,1604,,4,,123,1477,37,557,1,35757,12411
Argentina,1554,,48,2,280,1226,86,34,1,8488,188
Iceland,1486,,4,,428,1054,11,4355,12,25394,74416
Colombia,1485,,35,,88,1362,50,29,0.7,23706,466
Algeria,1320,,152,,90,1078,46,30,3,3359,77
Ukraine,1319,11,38,1,28,1253,16,30,0.9,5864,134
Singapore,1309,,6,,320,983,25,224,1,40000,6837
Croatia,1222,40,16,1,130,1076,36,298,4,11464,2793
Egypt,1173,,78,,247,848,,11,0.8,25000,244
Morocco,1113,92,71,1,76,966,1,30,2,5067,137
Estonia,1108,11,19,4,62,1027,14,835,14,21866,16484
New Zealand,1106,67,1,,176,929,3,229,0.2,39918,8278
Slovenia,1021,24,30,2,102,889,30,491,14,28253,13590
Iraq,961,,61,,279,621,,24,2,,
Hong Kong,915,24,4,,216,695,12,122,0.5,96709,12900
Moldova,864,,17,2,37,810,80,214,4,,
Lithuania,843,32,14,1,8,821,11,310,5,25599,9403
Armenia,833,11,8,1,62,763,30,281,3,4929,1663
Hungary,744,11,38,4,67,639,17,77,4,22282,2307
Bahrain,723,23,4,,451,268,4,425,2,46999,27621
Diamond Princess,712,,11,,619,82,10,,,,
Belarus,700,138,13,5,53,634,11,74,1,40000,4233
Bosnia and Herzegovina,667,13,28,5,47,592,4,203,9,5934,1809
Kuwait,665,109,1,,103,561,20,156,0.2,,
Cameroon,658,8,9,,17,632,,25,0.3,,
Azerbaijan,641,57,7,,44,590,11,63,0.7,45000,4438
Kazakhstan,629,45,6,,45,578,16,33,0.3,5093,271
Tunisia,574,,22,,5,547,39,49,2,7145,605
North Macedonia,555,,18,,23,514,15,266,9,5291,2540
Latvia,542,9,1,,1,540,5,287,0.5,21453,11374
Bulgaria,541,10,21,1,39,481,22,78,3,15899,2288
Lebanon,541,14,19,1,55,467,27,79,3,9653,1414
Slovakia,534,49,1,,8,525,3,98,0.2,16191,2966
Andorra,501,,18,,26,457,12,6484,233,,
Costa Rica,454,,2,,16,436,14,89,0.4,5098,1001
